Ticker,Date,Open,Close,High,Low,Volume
NFLX,2025-02-10,1023.74,1027.59,1032.76,1015.97,101252
NFLX,2025-02-11,1020.32,1007.79,1022.05,1002.91,89720
NFLX,2025-02-12,1005.5,1027.27,1027.74,998.44,73200
NFLX,2025-02-13,1026.23,1044.16,1045.9,1025.61,105230
NFLX,2025-02-14,1044.95,1058.69,1064.45,1042.35,88749
NFLX,2025-02-18,1060.8,1035.89,1061.43,1023.92,115312
NFLX,2025-02-19,1035.18,1043.32,1044.67,1024.63,72338
NFLX,2025-02-20,1042.23,1024.54,1044.13,1016.05,76776
NFLX,2025-02-21,1029.92,1002.98,1032.25,1000,90590
NFLX,2025-02-24,1008.46,988.34,1014.63,984.7,140260
NFLX,2025-02-25,989.97,977.53,992.54,955,166154
NFLX,2025-02-26,978.2,989.94,1000.58,976,68260
NFLX,2025-02-27,994.88,963.22,999.55,961.83,100522
NFLX,2025-02-28,968.2,980.71,982.05,958.48,115416
NFLX,2025-03-03,983.19,973.76,994.34,964.69,110122
NFLX,2025-03-04,971.73,972.67,986.13,948.83,138894
NFLX,2025-03-05,973.96,990.19,995.55,969.45,110678
NFLX,2025-03-06,973.22,906.52,973.96,899.27,233973
NFLX,2025-03-07,898.23,891,904.35,858.38,269240
NFLX,2025-03-10,873.74,866.55,880.14,854.86,297006
NFLX,2025-03-11,867.34,894.98,910.69,866.16,187596
NFLX,2025-03-12,913.72,919.42,926.16,901,129286
NFLX,2025-03-13,915.23,890.1,921.32,887.72,142328
NFLX,2025-03-14,902.39,917.67,919.57,901.12,101671
NFLX,2025-03-17,940.21,950.52,967.35,934.92,150868
NFLX,2025-03-18,939.64,930.3,947.63,916.35,77342
NFLX,2025-03-19,935.4,959.64,967.83,924.5,123317
NFLX,2025-03-20,948.83,950.8,966.65,945.6,121055
NFLX,2025-03-21,942.34,959.79,963.64,942.34,112899
NFLX,2025-03-24,970,970.77,976.53,951.64,150424
NFLX,2025-03-25,977.8,997.52,998.51,977.11,91017
NFLX,2025-03-26,993.86,970.65,995.98,966.64,90247
NFLX,2025-03-27,972.57,976.86,988.53,966.91,89483
NFLX,2025-03-28,972.26,933.67,974.45,929.66,120152
NFLX,2025-03-31,919.99,932.38,934.48,900.72,124599
NFLX,2025-04-01,927.34,928.19,931.87,911.97,132095
NFLX,2025-04-02,922.65,935.65,949.15,917.16,120374
NFLX,2025-04-03,901.37,916.79,946.36,901.37,150996
NFLX,2025-04-04,896.9,856.01,905.68,853.92,218103
NFLX,2025-04-07,827.85,867.38,905.42,821.21,157478
NFLX,2025-04-08,912.53,870.93,922.41,858.6,164131
NFLX,2025-04-09,855.79,945.17,953.21,854.5,194218
NFLX,2025-04-10,931.94,921.07,941.04,894.22,132399
NFLX,2025-04-11,921.46,917.75,944.31,906.78,134646
NFLX,2025-04-14,932.7,931.95,948.86,919.55,128567
NFLX,2025-04-15,949.62,976.35,993.09,948.12,172945
NFLX,2025-04-16,977.88,961.71,981,949.55,153231
NFLX,2025-04-17,968.51,974.11,984.73,957.29,226148
NVDA,2025-01-02,136.02,138.32,138.87,134.65,2419867
NVDA,2025-01-03,140.01,144.42,144.9,139.82,2796981
NVDA,2025-01-06,148.58,149.47,152.15,147.86,2868913
NVDA,2025-01-07,153.13,140.15,153.13,140.01,3827798
NVDA,2025-01-08,142.62,140.03,143.94,137.9,2676975
NVDA,2025-01-10,137.45,135.93,137.73,134.22,2628175
